 报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31, 
 期末现金及现金等价物余额(万元),32479,105893,31257,27362,35289,51173,12192,16254,12895,6265,1036,5091,5724,10694,1808,6513,4595,1566, 
 净利润(万元),--,3761,--,12524,--,6008,--,15530,--,7037,--,15470,5727,15054,6309,7884,7536,2959, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,-427,--,545,--,1505,--,2302,--,1471,--,1071,167,1200,145,575,350,432, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,8248,--,14452,--,6863,--,12073,--,5764,--,8036,4277,8262,4090,7914,6944,5943, 
 无形资产摊销(万元),--,191,--,305,--,130,--,229,--,112,--,211,103,135,65,111,105,147, 
 长期待摊费用摊销(万元),--,2098,--,3834,--,2004,--,3401,--,1752,--,2410,787,1345,663,2644,1433,63, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,10,--,-44,--,-32,--,1,--,31,--,-5,57,-95,32,-16,-22,-428, 
 固定资产报废损失(万元),--,-18,--,70,--,40,--,121,--,--,--,75,--,92,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,-21,119,119,-119,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,1570,--,3927,--,2172,--,1760,--,1143,--,1330,464,1956,1191,2242,1965,1907, 
 投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,-36,--,-160,-149,-640,-8,--, 
 递延所得税资产减少(万元),--,-691,--,-1832,--,-774,--,-1651,--,-699,--,-250,54,-345,-193,-38,338,-120, 
 递延所得税负债增加(万元),--,28,--,-2,--,-1,--,-3,--,-2,--,-7,-1,-8,9,25,--,--, 
 存货的减少(万元),--,-38,--,-1912,--,-2603,--,-1731,--,27,--,-5712,-2856,-534,62,-2138,898,1378, 
 经营性应收项目的减少(万元),--,4477,--,214,--,4774,--,-7106,--,-1447,--,-2818,4246,41,-1839,-1174,-5840,-6342, 
 经营性应付项目的增加(万元),--,-11070,--,-13804,--,-14818,--,-2167,--,-5547,--,12420,-693,-7406,-297,-3452,-1315,3369, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,8137,--,18277,--,5268,--,22756,--,9642,--,32194,12311,19656,10208,13818,12384,9309, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),32479,105893,31257,27362,35289,51173,12192,16254,12895,6265,1036,5091,5724,10694,1808,6513,4595,1566, 
 现金的期初余额(万元),27362,27362,27362,16254,16254,16254,16254,5091,5091,5091,5091,10694,10694,6513,6513,4595,1566,2951, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),5117,78531,3895,11109,19036,34920,-4061,11163,--,1174,-4054,-5604,-4970,4181,-4705,1918,3029,-1385, 

