 报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31, 
 筹资活动产生的现金流量净额(万元),-5750,-3686,-693,-2147,-2816,-4860,-4549,21681,21784,-2278,461,-3736,-1286,-4388,-4999,-4464,-32,-1370, 
 汇率变动对现金及现金等价物的影响(万元),147,18,-174,720,804,222,-375,-324,-207,-119,-24,415,131,254,-5,-9,-184,-35, 
 现金及现金等价物净增加额(万元),-13549,-5045,3685,-3502,-3268,-6173,-7604,17132,16431,-74,1594,1562,3203,531,-1822,1578,-1075,4231, 
 加:期初现金及现金等价物余额(万元),22379,22331,22330,25833,25833,25833,25833,8701,8701,8701,8701,7139,7139,6608,6609,5030,6106,1874, 
 期末现金及现金等价物余额(万元),8830,17286,26015,22331,22565,19660,18229,25833,25132,8627,10295,8701,10343,7139,4787,6608,5030,6106, 
 净利润(万元),--,2270,--,3681,--,3824,--,4642,--,2781,--,5204,--,5147,--,5331,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,-420,--,1954,--,317,--,88,--,-43,--,76,--,98,--,537,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,551,--,997,--,504,--,1018,--,499,--,977,--,807,--,797,--,--, 
 无形资产摊销(万元),--,35,--,95,--,60,--,117,--,58,--,116,--,76,--,24,--,--, 
 长期待摊费用摊销(万元),--,184,--,143,--,67,--,112,--,24,--,446,--,296,--,148,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,-4,--,-1543,--,-1542,--,-2,--,-1,--,19,--,-20,--,-26,--,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,84,--,-25,--,-115,--,1075,--,519,--,374,--,650,--,982,--,--, 
 投资损失(万元),--,-85,--,-311,--,-170,--,-73,--,4,--,-9,--,4,--,2,--,--, 
 递延所得税资产减少(万元),--,54,--,54,--,11,--,-174,--,-25,--,85,--,-3,--,-57,--,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,-2354,--,76,--,-205,--,-2741,--,-1339,--,-1911,--,880,--,-977,--,--, 
 经营性应收项目的减少(万元),--,-1057,--,1305,--,-213,--,-814,--,-612,--,4078,--,89,--,-460,--,--, 
 经营性应付项目的增加(万元),--,-478,--,-1152,--,461,--,1677,--,1688,--,481,--,995,--,1056,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,50,--,-6,--,--, 
 经营活动产生现金流量净额(万元),--,-1220,--,5275,--,2999,--,4924,--,3554,--,9935,--,9066,--,7352,--,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),8830,17286,26015,22331,22565,19660,18229,25833,25132,8627,10295,8701,10343,7139,4787,6608,5030,6106, 
 现金的期初余额(万元),22379,22331,22330,25833,25833,25833,25833,8701,8701,8701,8701,7139,7139,6608,6609,5030,6106,1874, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-13549,-5045,3685,-3502,-3268,-6173,-7604,17132,16431,-74,1594,1562,3203,531,-1822,1578,-1075,4231, 

