 报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 现金及现金等价物净增加额(万元),-819,-7006,-8197,-6534,-17485,-14276,-11883,4100,-14150,-12456,-7308,9911,-11273,-9898,-7763,-447,-11741,5524,2556,3740,1656, 
 加:期初现金及现金等价物余额(万元),23295,23295,23295,29828,29828,29828,29828,25728,25728,25728,25728,15817,15817,15817,15817,16264,16264,10741,8185,4445,2790, 
 期末现金及现金等价物余额(万元),22476,16289,15098,23295,12344,15552,17945,29828,11578,13272,18420,25728,4543,5919,8054,15817,4523,16264,10741,8185,4445, 
 净利润(万元),--,-418,--,1265,--,-1947,--,1491,--,-683,--,3801,--,1459,--,5070,--,5589,4115,2260,1266, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,632,--,825,--,-317,--,1097,--,101,--,380,--,311,--,559,--,287,41,392,266, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,480,--,886,--,436,--,612,--,284,--,535,--,271,--,505,--,447,384,380,292, 
 无形资产摊销(万元),--,88,--,124,--,55,--,80,--,35,--,61,--,27,--,23,--,25,20,27,23, 
 长期待摊费用摊销(万元),--,36,--,94,--,38,--,45,--,2,--,--,--,--,--,--,--,--,20,54,62, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,--,--,6,--,3,--,4,--,-1,--,0,--,0,--,1,--,27,0,1,1, 
 固定资产报废损失(万元),--,--,--,-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,37,--,-37,--,39,--,355,--,155,--,-24,--,-0,--,136,--,251,283,381,220, 
 投资损失(万元),--,-66,--,-201,--,-69,--,-208,--,-113,--,--,--,--,--,--,--,--,--,--,--, 
 递延所得税资产减少(万元),--,-88,--,-151,--,91,--,-189,--,-24,--,-165,--,-116,--,-178,--,-43,-2,-54,-28, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,-3325,--,-5579,--,-4447,--,688,--,-1111,--,-181,--,-1114,--,-1854,--,1069,-3819,-2842,-1697, 
 经营性应收项目的减少(万元),--,-612,--,-3854,--,-1974,--,-1681,--,-3995,--,-3431,--,-5600,--,-5551,--,-1543,2487,-1167,-2339, 
 经营性应付项目的增加(万元),--,-7375,--,9327,--,1887,--,-1013,--,-1983,--,-4737,--,-5569,--,3383,--,538,2970,3836,812, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,-10610,--,2705,--,-6204,--,1281,--,-7332,--,-3760,--,-10332,--,2094,--,6647,6499,3269,-1122, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),22476,16289,15098,23295,12344,15552,17945,29828,11578,13272,18420,25728,4543,5919,8054,15817,4523,16264,10741,8185,4445, 
 现金的期初余额(万元),23295,23295,23295,29828,29828,29828,29828,25728,25728,25728,25728,15817,15817,15817,15817,16264,16264,10741,8185,4445,2790, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-819,-7006,-8197,-6534,-17485,-14276,-11883,4100,-14150,-12456,-7308,9911,-11273,-9898,-7763,-447,-11741,5524,2556,3740,1656, 

