 报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31, 
 筹资活动产生的现金流量净额(万元),-1444,-313,-1082,354,-237,-244,-546,4640,-237,6783,6885,6932,658,3858,2754,1164,0, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),-11118,-2641,-8035,1963,-7433,-6380,-7241,5397,-3237,3184,-667,3250,2268,1929,1820,316,870, 
 加:期初现金及现金等价物余额(万元),16074,16074,16074,14111,14111,14111,14111,8714,8714,5530,5530,5530,3261,3261,1442,1126,256, 
 期末现金及现金等价物余额(万元),4956,13433,8038,16074,6678,7731,6870,14111,5477,8714,4863,8779,5530,5191,3261,1442,1126, 
 净利润(万元),--,2462,--,5834,--,--,--,4753,--,3865,--,--,4616,1706,3090,2286,964, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,1079,--,716,--,--,--,559,--,495,--,--,244,127,51,139,104, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,175,--,368,--,--,--,366,--,307,--,--,177,69,114,82,30, 
 无形资产摊销(万元),--,92,--,110,--,--,--,107,--,96,--,--,60,28,14,2,--, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,0,--,-1,--,--,--,--,--,-1,--,--,--,--,--,--,--, 
 固定资产报废损失(万元),--,--,--,0,--,--,--,--,--,--,--,--,5,0,2,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,85,--,178,--,--,--,97,--,70,--,--,222,33,140,36,--, 
 投资损失(万元),--,38,--,48,--,--,--,-43,--,6,--,--,-24,-3,-15,--,--, 
 递延所得税资产减少(万元),--,-173,--,-47,--,--,--,-110,--,-120,--,--,-98,-19,-6,-19,-16, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,-2659,--,-1083,--,--,--,1122,--,-3053,--,--,-1104,446,-202,-1022,-287, 
 经营性应收项目的减少(万元),--,-517,--,-4600,--,--,--,-6661,--,-3745,--,--,-1479,-644,-2558,-4193,-1142, 
 经营性应付项目的增加(万元),--,-127,--,3439,--,--,--,3212,--,117,--,--,1941,-1257,600,3040,1394, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,454,--,4963,--,--,--,3402,--,-1963,--,--,4560,486,1230,350,1048, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),4956,13433,8038,16074,6678,7731,6870,14111,5477,8714,4863,8779,5530,5191,3261,1442,1126, 
 现金的期初余额(万元),16074,16074,16074,14111,14111,14111,14111,8714,8714,5530,5530,5530,3261,3261,1442,1126,256, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-11118,-2641,-8035,1963,-7433,-6380,-7241,5397,-3237,3184,-667,3250,2268,1929,1820,316,870, 

