 报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),29283,23270,10942,65760,47164,38140,29957,46776,14906,3833,11691,7297,22725,17305, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),19525,8722,5811,15292,9583,5672,1271,4612,1595,2652,4375,3531,5500,3248, 
 投资所支付的现金(万元),51990,21159,8850,64280,49670,38570,29850,46600,14870,3800,11350,7180,21070,17906, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,643,--, 
 支付的其他与投资活动有关的现金(万元),260,--,--,846,--,846,--,--,--,--,--,--,89,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),71776,29881,14661,80417,59253,45088,31121,51212,16465,6452,15725,10711,27302,21154, 
 投资活动产生的现金流量净额(万元),-42494,-6611,-3719,-14657,-12089,-6948,-1164,-4436,-1559,-2619,-4034,-3414,-4577,-3849, 
 吸收投资收到的现金(万元),52294,--,--,--,--,--,--,--,--,--,--,1508,467,1544, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),5304,4342,4342,1517,1105,1405,--,--,--,2004,9004,19367,22708,4986, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,641,640,--,11,--,--,13534,14724,1854,--, 
 筹资活动现金流入小计(万元),57597,4342,4342,1517,1745,2045,0,11,0,2004,22538,35599,25029,6531, 
 偿还债务支付的现金(万元),1342,--,--,1517,820,--,--,2000,2000,3087,17516,22823,10854,4443, 
 分配股利、利润或偿付利息所支付的现金(万元),137,66,24,4020,4005,4005,--,2012,2012,94,591,469,1664,165, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),1696,8,8,245,5,195,--,--,--,--,--,13534,14724,2262, 
 筹资活动现金流出小计(万元),3175,74,32,5782,4830,4199,0,4012,4012,3182,18107,36826,27242,6870, 
 筹资活动产生的现金流量净额(万元),54422,4267,4310,-4265,-3084,-2154,0,-4001,-4012,-1178,4431,-1227,-2213,-339, 
 汇率变动对现金及现金等价物的影响(万元),409,169,-50,-33,-219,-183,-272,-473,-175,442,325,-171,-150,13, 
 现金及现金等价物净增加额(万元),15419,1781,-2706,-4470,-10874,-5291,-5130,3719,2687,3676,1018,1642,-1151,1686, 
 加:期初现金及现金等价物余额(万元),9901,9901,9901,14371,14371,14371,14371,10652,10652,6976,5958,4316,5467,3781, 
 期末现金及现金等价物余额(万元),25320,11682,7195,9901,3498,9081,9241,14371,13339,10652,6976,5958,4316,5467, 
 净利润(万元),--,6598,3072,11659,--,3745,1058,10495,5754,8272,1428,--,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,-230,-218,2364,--,616,-128,416,243,1231,1115,--,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,1930,669,2212,--,1035,749,1856,922,1642,1573,--,--,--, 
 无形资产摊销(万元),--,42,21,68,--,30,14,56,28,53,45,--,--,--, 
 长期待摊费用摊销(万元),--,425,265,256,--,86,36,60,11,2,26,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,35,--,5,--,0,--,-11,-1,9,15,--,--,--, 
 固定资产报废损失(万元),--,19,1,-11,--,1,2,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,-25,25,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,-13,-25,--,-15,-6,-25,-12,-23,-18,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,398,78,53,--,137,272,482,184,-350,-36,--,--,--, 
 投资损失(万元),--,-97,-31,949,--,976,-33,-66,-10,-185,-8,--,--,--, 
 递延所得税资产减少(万元),--,-275,-124,-339,--,-190,-49,220,172,83,-150,--,--,--, 
 递延所得税负债增加(万元),--,8,--,1245,--,--,1245,--,--,--,--,--,--,--, 
 存货的减少(万元),--,1524,-1033,-753,--,24,-2668,-1971,745,-368,3021,--,--,--, 
 经营性应收项目的减少(万元),--,2376,3658,-8116,--,-321,2260,-4242,1230,-7725,2698,--,--,--, 
 经营性应付项目的增加(万元),--,-8798,-9568,4893,--,-2132,-6446,5359,-834,4391,-9413,--,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,3956,-3248,14485,--,3995,-3695,12629,8433,7031,296,--,--,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),25320,11682,7195,9901,3498,9081,9241,14371,13339,10652,6976,5958,4316,5467, 
 现金的期初余额(万元),9901,9901,9901,14371,14371,14371,14371,10652,10652,6976,5958,4316,5467,3781, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),15419,1781,-2706,-4470,-10874,-5291,-5130,3719,2687,3676,1018,1642,-1151,1686, 

