 报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2017-12-31,2016-12-31,2015-12-31, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),2073,584,2977,2364,2183,746,458, 
 投资所支付的现金(万元),175,175,175,--,235,6270,13000, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),2248,759,3152,2364,2418,7016,13458, 
 投资活动产生的现金流量净额(万元),-2058,-661,-2719,-2120,-2197,8315,-2284, 
 吸收投资收到的现金(万元),--,--,--,--,4514,11000,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,1000,--, 
 取得借款收到的现金(万元),--,--,3175,3175,3000,6537,5000, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),0,0,3175,3175,7514,17538,5000, 
 偿还债务支付的现金(万元),--,--,6175,175,3000,8537,--, 
 分配股利、利润或偿付利息所支付的现金(万元),--,--,6245,185,3045,11862,10125, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),123,95,199,94,687,3424,100, 
 筹资活动现金流出小计(万元),123,95,12619,454,6732,23823,10225, 
 筹资活动产生的现金流量净额(万元),-123,-95,-9444,2721,781,-6286,-5225, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),6789,12787,5541,5954,-130,3276,1497, 
 加:期初现金及现金等价物余额(万元),21978,21978,16437,16437,16568,13292,11795, 
 期末现金及现金等价物余额(万元),28767,34765,21978,22391,16437,16568,13292, 
 净利润(万元),--,8633,--,--,--,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--, 
 资产减值准备(万元),--,1096,--,--,--,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,420,--,--,--,--,--, 
 无形资产摊销(万元),--,49,--,--,--,--,--, 
 长期待摊费用摊销(万元),--,55,--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,11,--,--,--,--,--, 
 固定资产报废损失(万元),--,-7,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--, 
 财务费用(万元),--,--,--,--,--,--,--, 
 投资损失(万元),--,187,--,--,--,--,--, 
 递延所得税资产减少(万元),--,-274,--,--,--,--,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--, 
 存货的减少(万元),--,-5792,--,--,--,--,--, 
 经营性应收项目的减少(万元),--,19793,--,--,--,--,--, 
 经营性应付项目的增加(万元),--,-13329,--,--,--,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--, 
 其他(万元),--,2701,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,13542,--,--,--,--,--, 
 债务转为资本(万元),--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--, 
 现金的期末余额(万元),28767,34765,21978,22391,16437,16568,13292, 
 现金的期初余额(万元),21978,21978,16437,16437,16568,13292,11795, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),6789,12787,5541,5954,-130,3276,1497, 

