 报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),7890,4960,2540,6951,5358,3380,1924,6228,4944,3131,1660,5173,4122,2699,4287,4248,4833,4521, 
 支付的各项税费(万元),4698,3483,1581,4525,3688,2801,876,4774,3085,2253,1549,5363,2364,2066,2445,2480,4506,5562, 
 支付的其他与经营活动有关的现金(万元),7555,4980,2710,6176,5081,2616,1341,4994,3464,2028,766,4197,3205,2209,3750,3250,3763,3821, 
 经营活动现金流出小计(万元),145065,89555,49164,111355,89374,57241,30601,106252,80985,51642,18114,99132,73548,43591,70728,58479,72437,85696, 
 经营活动产生的现金流量净额(万元),-969,4222,-1077,-504,305,1293,5391,3677,-2905,1273,2288,6321,-866,1303,1656,2137,8435,8997, 
 收回投资所收到的现金(万元),24480,16830,4400,56150,39600,29600,15500,6400,3400,1900,1000,9800,5800,3300,10870,5110,--,--, 
 取得投资收益所收到的现金(万元),416,83,48,510,445,325,172,117,35,6,2,120,31,10,157,29,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),3,2,2,1,1,--,--,2,7,--,--,5,5,5,4,--,--,17, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),24899,16914,4450,56661,40046,29925,15672,6519,3442,1906,1002,9925,5836,3315,11031,5139,0,17, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),518,422,137,574,757,661,353,274,174,92,39,255,239,226,120,171,242,284, 
 投资所支付的现金(万元),31480,20930,13730,45150,41600,33600,17600,17500,12500,2500,1500,10860,6960,3460,8970,9350,1,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),3148,3148,--,12288,--,--,--,--,--,--,--,--,--,--,--,--,--,24, 
 支付的其他与投资活动有关的现金(万元),80,80,75,--,--,--,--,--,--,--,--,--,--,--,--,--,33,77, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),35226,24580,13942,58012,42357,34261,17953,17774,12674,2592,1539,11115,7199,3686,9090,9521,277,384, 
 投资活动产生的现金流量净额(万元),-10327,-7666,-9493,-1351,-2311,-4336,-2281,-11255,-9233,-686,-537,-1190,-1363,-371,1941,-4382,-277,-367, 
 吸收投资收到的现金(万元),40,--,--,288,--,--,--,26561,23884,23884,--,--,--,--,--,--,221,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,221,--, 
 取得借款收到的现金(万元),19980,11375,8875,410,400,200,--,835,775,425,125,9138,9128,2956,6890,5052,30570,51416, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),9709,9709,8764,3524,--,--,--,--,--,--,--,--,--,--,--,10,1991,--, 
 筹资活动现金流入小计(万元),29729,21084,17640,4222,400,200,0,27397,24659,24309,125,9138,9128,2956,6890,5062,32781,51416, 
 偿还债务支付的现金(万元),4164,4114,969,1380,300,50,--,5879,5619,4094,394,7334,5456,2200,4480,11809,33210,52927, 
 分配股利、利润或偿付利息所支付的现金(万元),5305,5199,39,3151,3070,3068,1,1974,1971,1910,1735,1779,1691,1622,1499,1085,669,1329, 
 其中：子公司支付给少数股东的股利、利润(万元),1129,1129,--,69,--,--,--,49,49,--,--,--,--,--,37,--,--,--, 
 支付其他与筹资活动有关的现金(万元),9960,9472,8828,3720,88,65,30,1241,1180,1154,18,167,77,53,132,138,65,2095, 
 筹资活动现金流出小计(万元),19429,18785,9836,8251,3458,3183,31,9094,8771,7158,2147,9280,7223,3875,6111,13033,33944,56350, 
 筹资活动产生的现金流量净额(万元),10300,2299,7804,-4029,-3058,-2983,-31,18303,15889,17151,-2022,-142,1905,-919,779,-7971,-1163,-4934, 
 汇率变动对现金及现金等价物的影响(万元),-0,-4,-4,51,44,25,-14,-21,-14,-7,2,11,6,4,11,-0,-3,-0, 
 现金及现金等价物净增加额(万元),-997,-1149,-2771,-5834,-5020,-6000,3064,10704,3737,17732,-269,5000,-318,16,4387,-10216,6992,3695, 
 加:期初现金及现金等价物余额(万元),16909,16909,16909,22743,22743,22743,22743,12038,12038,12038,12038,7038,7038,7038,2651,12867,5875,2180, 
 期末现金及现金等价物余额(万元),15912,15760,14138,16909,17723,16742,25807,22743,15775,29770,11769,12038,6719,7054,7038,2651,12867,5875, 
 净利润(万元),--,6638,--,9843,--,4946,--,7266,--,3686,--,4804,--,2828,4123,3664,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,25,--,13,--,-1,--,136,--,162,--,597,--,551,400,270,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,141,--,175,--,107,--,223,--,116,--,226,--,110,209,225,--,--, 
 无形资产摊销(万元),--,112,--,33,--,16,--,27,--,13,--,48,--,36,69,17,--,--, 
 长期待摊费用摊销(万元),--,46,--,55,--,25,--,--,--,187,--,97,--,97,25,196,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,-1,--,-1,--,--,--,-5,--,--,--,3,--,2,-0,--,--,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,1,--,--, 
 公允价值变动损失(万元),--,--,--,-318,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,329,--,121,--,69,--,212,--,123,--,381,--,153,241,317,--,--, 
 投资损失(万元),--,-49,--,-451,--,-289,--,-218,--,-46,--,-142,--,-46,-122,-113,--,--, 
 递延所得税资产减少(万元),--,-68,--,-153,--,-20,--,-24,--,-27,--,75,--,53,-77,53,--,--, 
 递延所得税负债增加(万元),--,-19,--,48,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,-5432,--,-601,--,-617,--,-195,--,106,--,1042,--,1338,-1332,1581,--,--, 
 经营性应收项目的减少(万元),--,4565,--,-17858,--,-3816,--,-352,--,3195,--,-7024,--,-10160,-1887,-5577,--,--, 
 经营性应付项目的增加(万元),--,-2492,--,7018,--,459,--,-3514,--,-6242,--,6214,--,6340,8,1555,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,426,--,1573,--,417,--,120,--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,4222,--,-504,--,1293,--,3677,--,1273,--,6321,--,1303,1656,2137,--,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),15912,15760,14138,16909,17723,16742,25807,22743,15775,29770,11769,12038,6719,7054,7038,2651,12867,5875, 
 现金的期初余额(万元),16909,16909,16909,22743,22743,22743,22743,12038,12038,12038,12038,7038,7038,7038,2651,12867,5875,2180, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-997,-1149,-2771,-5834,-5020,-6000,3064,10704,3737,17732,-269,5000,-318,16,4387,-10216,6992,3695, 

