报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
固定资产原值(万元),--,39181,38743,27793,--,--,--,--,--,--,--,--,
累计折旧(万元),--,9645,9237,8582,--,--,--,--,--,--,--,--,
固定资产净值(万元),--,29536,29506,19211,--,--,--,--,--,--,--,--,
固定资产减值准备(万元),--,172,171,171,--,--,--,--,--,--,--,--,
固定资产(万元),--,29363,29335,19040,16825,15726,15927,16265,13139,12951,11573,6563,
在建工程(万元),--,1467,--,--,2098,22,--,--,3597,113,2,386,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),7307,2179,2169,2173,2117,1361,1496,1524,1466,1495,980,865,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),2031,2141,1862,1828,588,395,257,104,--,25,54,84,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),1227,1049,898,774,619,430,461,633,716,460,246,60,
其他非流动资产(万元),--,2022,1980,654,685,265,707,29,153,--,--,--,
非流动资产合计(万元),46704,38246,37045,32960,25757,21002,19543,19268,19538,15044,12854,7958,
资产总计(万元),140794,86112,81240,84177,68905,68886,58356,57585,46303,62199,53957,32040,
短期借款(万元),3990,4375,4347,--,1456,--,--,2000,3083,11596,14938,3093,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,25,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,3353,4706,915,
应付账款(万元),15884,15709,13796,22965,--,17926,12423,14710,11981,13324,8910,7085,
预收账款(万元),1330,818,1041,1170,1235,1629,2321,494,653,1887,1104,769,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),2901,2332,3225,3759,2407,3270,2091,2306,1268,2378,1845,729,
应交税费(万元),842,821,507,869,1551,1414,1454,1693,1482,1999,1485,623,
应付利息(万元),--,13,4,--,--,--,--,3,5,308,30,--,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),--,861,668,787,784,840,835,875,501,1056,2368,5021,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),26477,24929,23587,29576,24890,25078,19124,22081,18973,35901,35386,18234,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,95,107,108,--,--,
长期递延收益(万元),2791,2818,2844,2857,1567,941,954,956,875,585,598,611,
递延所得税负债(万元),1252,1252,1245,1245,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),4044,4070,4088,4101,1567,941,954,1051,982,693,598,611,
负债合计(万元),30520,28999,27676,33678,26457,26019,20078,23132,19956,36594,35984,18845,
实收资本(或股本)(万元),8488,6366,6366,6366,6366,6366,6366,6366,6366,6366,6000,4382,
资本公积(万元),50142,2001,2001,2001,2001,2001,2001,2001,2001,2001,859,380,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),3266,3262,3543,3262,2498,2155,1777,1390,857,571,217,256,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),48571,45746,41939,39148,32031,32628,28282,24916,17177,16640,10865,7835,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),110273,57113,53564,50499,42448,42867,38278,34454,26348,25605,17973,12857,
少数股东权益(万元),--,--,--,--,--,--,--,--,--,--,--,338,
所有者权益(或股东权益)合计(万元),110273,57113,53564,50499,42448,42867,38278,34454,26348,25605,17973,13195,
负债和所有者权益(或股东权益)总计(万元),140794,86112,81240,84177,68905,68886,58356,57585,46303,62199,53957,32040,		
  
