报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),649,605,512,432,575,492,473,385,301,275,243,185,151,74,55,49,30,
其他非流动资产(万元),429,467,556,610,280,301,243,234,212,94,65,--,--,--,--,--,--,
非流动资产合计(万元),17437,16582,15191,14237,12534,12048,10208,9964,9166,8285,6416,5659,5387,3724,3484,382,248,
资产总计(万元),56997,60395,51751,58469,47489,49922,43070,47011,35495,34556,29855,29842,23343,19679,15439,9967,4321,
短期借款(万元),2951,3928,2000,4000,4000,3000,2500,2000,2000,2000,2000,2000,--,2500,2500,1000,--,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),858,--,587,1590,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付账款(万元),6221,9697,5778,7875,--,--,5259,6765,5603,5216,3709,3800,4411,1851,2634,3452,1601,
预收账款(万元),2913,2865,1560,1486,856,500,1252,1097,558,382,801,750,561,264,363,794,643,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),530,464,435,1153,424,423,408,1177,361,881,364,12,878,23,431,82,--,
应交税费(万元),96,720,132,1783,187,811,211,702,1082,973,139,394,723,372,363,126,154,
应付利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付股利(万元),--,--,--,--,--,--,--,1017,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),--,--,--,--,533,675,422,477,165,137,127,6496,288,59,71,21,15,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),1000,500,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),15287,18686,12169,18612,12466,14360,10052,13236,9770,9589,7141,13452,6860,5070,6362,5475,2414,
长期借款(万元),4000,4500,5000,5000,5000,5000,5000,5000,--,--,--,--,--,646,801,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),105,188,215,298,380,463,50,50,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),4105,4688,5215,5298,5380,5463,5050,5050,0,0,0,0,0,646,801,0,0,
负债合计(万元),19392,23373,17384,23910,17846,19822,15102,18286,9770,9589,7141,13452,6860,5716,7163,5475,2414,
实收资本(或股本)(万元),5085,5085,5085,5085,5085,5085,5085,5085,5085,5085,5085,4635,4635,4635,4180,2000,500,
资本公积(万元),11296,11296,11296,11296,11296,11296,11296,11296,11296,11296,11296,5404,5404,5404,1878,--,--,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),1835,1835,1835,1835,1301,1301,1301,1301,784,784,376,641,641,296,296,170,72,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),19360,18774,16153,16340,11947,12439,10299,11048,8577,7809,5961,5709,5791,3609,1901,2323,1335,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),37576,36990,34369,34556,29629,30121,27981,28730,25741,24974,22718,16389,16471,13945,8255,4492,1907,
少数股东权益(万元),29,31,-2,4,14,-21,-13,-5,-16,-7,-3,1,13,19,21,--,--,
所有者权益(或股东权益)合计(万元),37605,37021,34367,34559,29643,30100,27969,28725,25725,24967,22714,16389,16483,13963,8276,4492,1907,
负债和所有者权益(或股东权益)总计(万元),56997,60395,51751,58469,47489,49922,43070,47011,35495,34556,29855,29842,23343,19679,15439,9967,4321,		
  
