报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
固定资产净值(万元),--,2217,--,--,--,--,--,--,--,--,--,--,--,--,2274,2185,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),--,2217,--,2288,2309,2351,2372,2291,2249,2167,2191,2104,2151,2189,2274,2185,
在建工程(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),644,667,693,715,670,694,514,422,443,476,234,262,290,326,394,280,
开发支出(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),14,17,20,23,26,30,33,36,43,37,--,--,--,--,20,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),110,91,101,62,137,77,116,70,205,249,15,15,5,5,4,3,
其他非流动资产(万元),--,412,313,294,256,258,212,212,100,--,--,--,--,--,1000,1000,
非流动资产合计(万元),3202,3643,3614,3620,3618,3630,3447,3231,3923,3813,3324,3482,2646,2720,3692,3468,
资产总计(万元),171319,98374,95297,84026,74175,70632,62673,62146,50558,46497,19888,11823,8556,7838,10530,10755,
短期借款(万元),17650,16000,15000,14000,14600,14000,11240,11440,9400,2000,900,1250,500,--,--,--,
向中央银行借款(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),22000,--,--,--,--,--,--,--,800,--,800,--,--,--,--,--,
应付账款(万元),5541,2766,11489,8279,--,--,2614,1270,1365,2914,525,621,59,173,466,338,
预收账款(万元),15675,21819,17976,12508,12033,11248,11040,11701,6184,9375,3224,2451,1241,1594,2665,2716,
卖出回购金融资产款(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),88,83,84,83,90,74,78,82,70,68,52,55,54,52,48,51,
应交税费(万元),2962,2979,1194,2162,1019,1262,593,1255,688,776,464,314,160,104,251,462,
应付利息(万元),27,27,--,23,--,--,24,22,--,--,--,--,--,--,--,--,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),--,657,--,539,732,433,320,812,974,16269,612,422,517,407,490,523,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,0,--,--,--,2,--,--,--,--,--,--,
流动负债合计(万元),64444,44331,46319,37594,31550,30358,25909,26582,19481,31405,6577,5114,2530,2330,3920,4090,
长期借款(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),--,--,35,70,--,0,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),0,0,35,70,0,0,0,0,0,0,0,0,0,0,0,0,
负债合计(万元),64444,44331,46354,37664,31550,30358,25909,26582,19481,31405,6577,5114,2530,2330,3920,4090,
实收资本(或股本)(万元),14082,10561,10561,10561,10561,10561,10561,10561,10561,8323,3329,2875,2875,2875,3295,3295,
资本公积(万元),59051,13787,13787,13787,13787,13787,13787,13787,13589,639,5649,655,655,655,1915,1915,
减:库存股(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),727,727,727,727,711,711,711,711,580,580,442,442,411,411,379,295,
一般风险准备(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),28468,25106,20795,18606,15359,13389,10311,9235,5957,5220,3891,2737,2085,1567,1021,1160,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),102327,50181,45870,43680,40417,38448,35370,34294,30687,14762,13310,6709,6026,5508,6610,6664,
少数股东权益(万元),4549,3862,3073,2682,2207,1826,1394,1270,390,331,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),106876,54042,48943,46362,42624,40274,36764,35564,31077,15093,13310,6709,6026,5508,6610,6664,
负债和所有者权益(或股东权益)总计(万元),171319,98374,95297,84026,74175,70632,62673,62146,50558,46497,19888,11823,8556,7838,10530,10755,		
  
