报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
短期借款(万元),2000,2000,2000,2000,3000,4000,4000,4000,3000,3000,5500,5500,4050,3050,2100,4000,4000,5329,3869,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),5261,449,--,2506,--,70,243,174,--,146,232,239,222,524,683,627,494,--,--,
应付账款(万元),12955,7191,--,11166,--,5595,4839,5340,4114,5137,4932,6457,6501,6747,10400,7573,9055,7798,4608,
预收账款(万元),911,470,582,323,386,294,433,243,220,226,288,281,483,273,561,634,780,226,201,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),530,441,535,750,530,475,441,641,670,653,645,691,676,505,635,613,503,407,334,
应交税费(万元),448,242,591,1446,243,33,222,1254,399,337,19,1398,477,503,1879,1327,1253,1356,814,
应付利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付股利(万元),5,220,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),--,2645,--,998,300,499,706,843,532,712,995,948,507,510,525,428,435,406,309,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,7,7,22,22,100,100,100,532,--,--,--,
流动负债合计(万元),24628,13658,16244,19190,11508,10967,10885,12494,8942,10218,12634,15536,13016,12212,16883,15734,16520,15522,10136,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),3453,3515,3425,3425,2652,2849,2509,2501,2146,2140,2119,2121,2037,2015,2010,1705,979,822,369,
长期递延收益(万元),1352,1324,1304,1219,1207,1232,1267,1241,1454,1414,--,1342,1197,1204,1119,1043,523,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,1360,--,--,--,--,--,--,146,365,
非流动负债合计(万元),4806,4839,4729,4644,3858,4081,3775,3742,3599,3554,3479,3463,3234,3219,3128,2747,1502,968,734,
负债合计(万元),29433,18497,20972,23834,15367,15048,14661,16236,12541,13772,16113,18999,16250,15431,20011,18481,18021,16490,10870,
实收资本(或股本)(万元),11264,11264,11004,11004,11004,11004,7336,7336,7336,7336,7336,7336,5500,5500,5500,5500,5500,5500,5500,
资本公积(万元),21381,21053,19274,19274,19274,19274,22942,22942,22942,22942,22942,22942,4448,4448,4448,4448,4448,4448,4448,
减:库存股(万元),1815,1815,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),2266,2266,2266,2266,2100,2100,2100,2100,1975,1975,1975,1975,1688,1688,1688,1287,818,457,290,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),21902,20095,19801,20733,18804,17687,18744,20074,18419,18025,17603,19147,17176,17092,15633,10963,5844,4089,1997,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),54998,52863,52346,53277,51182,50065,51122,52452,50673,50278,49856,51401,28813,28728,27269,22199,16610,14495,12236,
少数股东权益(万元),0,0,-2,-2,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,--,--,--,--,
所有者权益(或股东权益)合计(万元),54998,52864,52344,53275,51181,50064,51121,52451,50671,50276,49855,51399,28812,28728,27269,22199,16610,14495,12236,
负债和所有者权益(或股东权益)总计(万元),84432,71361,73316,77110,66548,65111,65781,68686,63212,64048,65968,70399,45062,44159,47280,40680,34631,30985,23105,		
  
