报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),9129,9053,9580,9014,8410,7737,8024,6968,6953,6834,7609,6133,6091,5517,4756,4973,4840,4299,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),135,154,334,406,221,7560,11292,11398,58,86,37,20,--,--,--,1400,--,--,
流动资产合计(万元),36898,37576,46093,39072,41370,47912,49015,46910,46552,42636,44000,43536,21865,19003,18436,18436,18010,14932,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,1736,1736,4286,2786,786,786,786,786,786,786,786,786,786,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),11995,11388,10143,10240,11577,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,24589,--,23367,--,20184,--,19542,--,16829,--,1602,15703,15526,14837,13531,11034,--,
累计折旧(万元),--,10648,--,9610,--,8586,--,7760,--,7022,--,6311,5983,5664,4983,3825,2923,--,
固定资产净值(万元),--,13942,--,13757,--,11598,--,11782,--,9807,--,-4709,9720,9862,9854,9706,8111,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),--,13942,--,13757,12226,11598,11647,11782,10796,9807,9523,9691,9720,9862,9854,9706,8111,3262,
在建工程(万元),--,4353,--,1163,1204,1160,729,611,951,740,835,537,491,413,355,224,128,4079,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),2026,1913,1951,1974,1889,1914,1946,1892,1838,1794,1817,1748,1759,1779,1788,1815,1854,1951,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),5155,5155,5155,5155,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),551,540,448,355,264,294,239,207,117,105,109,110,114,125,146,91,81,106,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),611,592,663,627,486,547,622,594,533,492,522,522,513,437,357,295,292,308,
其他非流动资产(万元),1283,1927,4272,3479,2743,2436,873,762,556,1492,--,147,--,120,38,--,--,--,
非流动资产合计(万元),41119,40596,40162,38487,34676,20734,16840,16634,15577,15217,13592,13542,13383,13522,13324,12131,10466,9706,
资产总计(万元),78017,78172,86255,77559,76046,68646,65855,63544,62128,57853,57593,57078,35248,32526,31761,30567,28476,24638,
短期借款(万元),6700,7200,13100,8500,3500,200,100,100,100,--,--,0,--,--,1000,3980,6835,4295,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),6833,5502,--,5258,--,7017,4397,5017,4437,1919,476,756,811,519,1955,1457,1478,827,
应付账款(万元),7611,9070,--,7598,--,7676,9111,8579,8292,8397,8730,8560,7664,6701,6103,5395,5437,5581,
预收账款(万元),357,260,500,242,319,232,377,168,254,323,102,117,136,127,207,59,179,117,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),676,671,670,755,583,580,932,992,805,682,499,760,372,340,558,306,293,535,
应交税费(万元),172,147,303,190,224,461,672,255,549,754,692,736,552,558,401,402,97,103,
应付利息(万元),17,17,17,17,--,0,0,0,--,--,--,--,--,--,2,7,14,8,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,300,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),--,2147,--,4453,8330,1145,1018,1053,1346,1051,742,1689,867,785,899,1237,2610,770,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),100,100,200,200,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,107,--,--,--,--,--,--,--,
流动负债合计(万元),24053,25114,34427,27212,27605,17311,16607,16164,15784,13126,11348,12619,10402,9030,11125,12844,16944,12534,
长期借款(万元),2800,2800,2800,2800,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,546,--,--,--,--,--,--,--,
预计非流动负债(万元),287,336,547,378,1477,1559,1699,1513,1735,1713,1652,1495,1491,1355,1130,868,754,526,
长期递延收益(万元),874,777,783,647,452,692,699,581,646,646,0,546,--,--,--,--,--,--,
递延所得税负债(万元),364,365,366,366,89,89,89,89,73,74,64,64,40,40,46,39,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),4326,4278,4495,4190,2017,2340,2487,2183,2453,2433,2263,2105,1531,1396,1176,907,754,526,
负债合计(万元),28379,29392,38923,31402,29622,19651,19094,18347,18237,15559,13611,14724,11933,10426,12301,13751,17699,13060,
实收资本(或股本)(万元),16000,16000,16177,16177,16177,16177,16000,16000,16000,16000,8000,8000,6000,6000,6000,6000,5482,6000,
资本公积(万元),13250,13250,13992,13992,13773,13773,12980,12980,12980,12980,20879,20879,5280,5280,5280,5280,2948,5429,
减:库存股(万元),--,0,1495,1495,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),2245,2245,2245,2245,1931,1931,1931,1931,1426,1426,1434,1426,934,934,934,549,236,55,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),17063,16189,15318,14799,14064,16696,15367,13854,13081,11502,13318,11673,10741,9611,7055,4987,2112,94,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),48558,47684,46237,45719,45945,48578,46278,44765,43488,41909,43631,41979,22956,21826,19270,16816,10777,11578,
少数股东权益(万元),1080,1096,1094,438,479,418,484,432,403,385,351,376,359,273,190,--,--,--,
所有者权益(或股东权益)合计(万元),49638,48780,47332,46157,46424,48995,46762,45197,43891,42294,43982,42354,23315,22100,19460,16816,10777,11578,
负债和所有者权益(或股东权益)总计(万元),78017,78172,86255,77559,76046,68646,65855,63544,62128,57853,57593,57078,35248,32526,31761,30567,28476,24638,		
  
