报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
累计折旧(万元),--,19854,--,18433,--,16926,--,15372,--,14106,--,13515,--,12068,10698,8078,5859,--,--,
固定资产净值(万元),--,79173,--,81129,--,56864,--,57877,--,59060,--,64984,--,52779,53224,47392,40416,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),--,79173,--,81129,55865,56864,57158,57877,58778,59060,64659,64984,56757,52779,53224,47392,40416,28274,26154,
在建工程(万元),--,794,--,794,1148,1158,1155,938,3249,3219,3165,3096,2081,4095,3246,3194,10279,1958,1319,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),10462,10285,10373,10461,10558,10712,10801,10942,11485,11505,12456,12549,12844,10620,10772,10871,12123,8392,5621,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),1557,1076,966,978,2406,2389,2358,2158,950,396,421,404,437,474,490,595,506,130,279,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),1633,1363,1285,1311,1081,1006,899,860,660,589,552,517,308,331,320,369,224,275,318,
其他非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),121064,119850,118859,119782,93722,94575,94992,95244,94280,93501,93958,94347,84183,80140,80059,73840,67912,44501,39344,
资产总计(万元),184579,179631,177498,173728,152239,147734,147080,158494,154159,143068,143030,151258,133753,123786,126956,123284,116543,86279,69295,
短期借款(万元),47800,52800,50800,44800,32800,33500,30000,36000,36000,34000,28700,32800,29600,48500,48000,41600,39429,27859,17249,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,
应付票据(万元),26707,16824,--,11726,--,13924,11090,20486,21296,13721,13700,18022,13823,8335,9682,17936,11041,3825,7967,
应付账款(万元),30730,32419,--,41269,--,30090,34320,30811,27189,27050,32726,33154,25544,23359,25348,20071,24220,15511,7168,
预收账款(万元),12901,11260,11492,9824,7234,5962,6740,6088,7084,5178,5549,4961,4721,3134,3075,3764,5536,5310,6463,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),1116,926,812,1748,886,890,798,1118,865,671,695,916,630,668,845,786,694,759,1280,
应交税费(万元),2025,1993,1864,2233,732,822,992,1124,605,308,679,1372,655,961,1414,1335,1191,1852,2419,
应付利息(万元),59,59,--,57,--,--,--,--,7,6,5,4,3,2,5,2,3,18,25,
应付股利(万元),--,--,--,--,--,--,--,--,--,1368,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),--,949,--,851,1000,827,826,1166,922,1125,1041,860,1372,880,811,1140,1342,1648,671,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,2000,4000,3400,900,650,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,
流动负债合计(万元),122178,117229,115621,112507,90780,86015,84766,96794,93968,83427,83095,92090,76348,87838,93181,90035,84356,57433,43242,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,4000,6500,8350,9550,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1170,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,200,--,
长期递延收益(万元),875,845,876,784,797,820,793,738,707,671,688,706,388,390,395,439,486,--,--,
递延所得税负债(万元),80,67,63,89,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,424,181,
非流动负债合计(万元),955,912,940,873,797,820,793,738,707,671,688,706,388,390,395,4439,6986,8974,10901,
负债合计(万元),123133,118141,116560,113380,91577,86835,85558,97532,94675,84098,83784,92796,76736,88228,93576,94474,91342,66406,54143,
实收资本(或股本)(万元),11200,11200,11200,11200,11200,11200,8000,8000,8000,8000,8000,8000,8000,6000,6000,6000,6000,6000,5000,
资本公积(万元),21286,21286,21286,21286,21286,21286,24486,24486,24486,24486,24486,24486,24486,5958,5958,5958,5958,5958,6149,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),808,808,808,808,808,808,808,808,594,594,594,594,438,438,438,328,202,87,281,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),28152,28196,27643,27054,27368,27605,28227,27668,26404,25890,26166,25382,24093,23162,20984,16525,13042,7829,3723,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),61446,61490,60937,60348,60662,60899,61521,60962,59485,58970,59246,58463,57017,35557,33380,28810,25201,19873,15152,
少数股东权益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),61446,61490,60937,60348,60662,60899,61521,60962,59485,58970,59246,58463,57017,35557,33380,28810,25201,19873,15152,
负债和所有者权益(或股东权益)总计(万元),184579,179631,177498,173728,152239,147734,147080,158494,154159,143068,143030,151258,133753,123786,126956,123284,116543,86279,69295,		
  
