报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),100,1790,--,1470,--,2750,2250,1000,1000,700,--,--,--,--,6000,
应付账款(万元),7234,8468,--,8142,--,6923,6765,8874,7591,5688,4904,3976,4333,3306,4120,
预收账款(万元),483,393,367,242,420,380,432,608,645,274,376,316,131,283,203,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),726,642,469,1000,714,602,412,789,627,742,1044,887,997,945,684,
应交税费(万元),374,312,181,446,348,550,322,309,199,749,740,657,607,449,483,
应付利息(万元),13,16,22,20,19,21,19,21,16,20,24,61,29,23,25,
应付股利(万元),--,--,--,--,--,--,--,--,--,1410,--,--,201,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),--,223,--,683,--,407,251,329,36,83,525,411,629,283,226,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),21709,25944,27278,27603,25883,27234,24050,27530,25714,24967,25013,21908,22528,20391,25741,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),971,972,973,975,976,977,1007,1009,1012,1020,72,77,83,87,100,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),971,972,973,975,976,977,1007,1009,1012,1020,72,77,83,87,100,
负债合计(万元),22680,26916,28251,28578,26859,28211,25057,28540,26726,25987,25086,21986,22610,20478,25841,
实收资本(或股本)(万元),16900,16900,13000,13000,13000,13000,10000,10000,10000,7500,7500,7500,7500,7500,7500,
资本公积(万元),19154,19154,23054,23054,23054,23054,26054,26054,26054,2916,2916,2916,2916,2916,2989,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),3018,3018,3018,3018,2683,2683,2683,2683,2219,2219,1790,1230,1230,649,131,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),17825,16812,17514,16584,18245,16839,15665,14444,14259,12647,9879,7706,9315,5807,1521,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),56914,55900,56603,55673,56982,55576,54402,53181,52533,25296,22084,19338,20946,16857,12138,
少数股东权益(万元),644,294,342,331,444,555,570,575,659,373,167,150,144,--,--,
所有者权益(或股东权益)合计(万元),57558,56194,56945,56004,57426,56131,54972,53757,53192,25669,22251,19488,21090,16857,12138,
负债和所有者权益(或股东权益)总计(万元),80238,83110,85196,84581,84285,84342,80029,82296,79917,51655,47337,41474,43701,37335,37979,		
  
