报告日期,2019-09-30,2019-06-30,2018-12-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31,2014-12-31,
专项应付款(万元),--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,
长期递延收益(万元),107,112,463,583,919,955,548,57,
递延所得税负债(万元),--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,
非流动负债合计(万元),107,112,463,3083,3519,3755,828,57,
负债合计(万元),12493,14173,14147,16062,10497,11814,7862,6779,
实收资本(或股本)(万元),4320,4320,4320,4320,4320,4320,4320,1520,
资本公积(万元),10538,10538,10538,10538,10538,10538,10538,1829,
减:库存股(万元),--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,
盈余公积(万元),1972,1972,1972,1356,684,684,112,424,
一般风险准备(万元),--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,
未分配利润(万元),25460,23156,19026,12743,8155,6500,1417,4183,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),42290,39986,35856,28957,23697,22042,16387,7956,
少数股东权益(万元),--,--,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),42290,39986,35856,28957,23697,22042,16387,7956,
负债和所有者权益(或股东权益)总计(万元),54783,54159,50003,45019,34193,33857,24249,14734,		
  
