报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2015-03-31,2014-12-31,2013-12-31,2012-12-31,
长期待摊费用(万元),2781,3171,3258,3756,3414,2366,2013,2182,1734,1558,1406,1949,2210,2447,2358,1828,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),5911,5261,5440,5141,4729,3587,3802,3424,2966,2838,2817,2685,3037,3133,3873,3421,
其他非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),40753,40655,40812,41099,39967,34755,33113,31600,29859,28849,27635,26503,23253,23477,23483,12446,
资产总计(万元),117493,115697,119767,128092,122291,114151,114270,113693,109282,111577,72775,67940,62385,62238,60867,58376,
短期借款(万元),5000,11000,7000,9000,9000,4000,--,--,--,5000,3800,3000,--,--,5000,3000,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付账款(万元),12731,8664,--,16449,--,9765,8194,9385,8632,6814,6921,9386,6527,8312,6580,9146,
预收账款(万元),1008,1312,885,794,835,1050,934,891,905,695,603,1018,2086,1356,2813,2238,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),11,3,5,11,15,13,13,11,9,8,7,2,8,2,16,93,
应交税费(万元),1185,-865,662,-94,809,-608,1316,1445,1649,1003,2419,1800,562,790,2906,4574,
应付利息(万元),14,21,8,12,--,7,--,--,--,5,4,5,--,--,10,5,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4500,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),--,4967,--,4829,5239,4809,4960,4757,4402,7635,5855,4698,5500,4711,3768,3626,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),24849,25103,23511,31001,26415,19036,15416,16489,15596,21162,19609,19909,14683,15172,21092,27182,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),2431,1704,2650,3625,3001,2514,3753,3845,3294,2045,3957,3541,2844,3409,2855,2549,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),2431,1704,2650,3625,3001,2514,3753,3845,3294,2045,3957,3541,2844,3409,2855,2549,
负债合计(万元),27280,26807,26160,34627,29416,21550,19169,20335,18890,23207,23566,23449,17527,18580,23948,29731,
实收资本(或股本)(万元),24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,18000,18000,18000,18000,18000,6500,
资本公积(万元),38313,38313,38313,38313,38313,38313,38313,38313,38313,38313,6193,6181,6181,6181,6181,6888,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),4973,4973,4973,4973,3996,3996,3996,3996,3408,3408,3408,2907,2316,2316,865,2839,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),24576,23026,27520,27053,26284,25987,28379,26714,23447,21463,19939,16627,17851,16707,11610,12407,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),92032,90449,94852,94472,93391,92805,95078,93353,89927,87906,48349,43980,44247,43162,36612,28614,
少数股东权益(万元),-1819,-1559,-1245,-1006,-515,-204,23,5,465,463,859,511,611,496,307,31,
所有者权益(或股东权益)合计(万元),90213,88890,93606,93466,92875,92601,95101,93358,90392,88370,49209,44491,44858,43658,36919,28645,
负债和所有者权益(或股东权益)总计(万元),117493,115697,119767,128092,122291,114151,114270,113693,109282,111577,72775,67940,62385,62238,60867,58376,		
  
