报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),183,91,44,249,109,53,21,298,131,76,8,276,117,69,17,300,101,290,271,120,101,
销售费用(万元),5105,2587,1166,5340,2817,1966,832,4588,3140,2177,954,4444,3078,2120,1132,4172,2223,5502,3761,2566,1616,
管理费用(万元),1679,1034,422,2119,1439,2664,1309,5649,3893,2469,1469,4905,3639,2181,1124,3906,2720,4831,3555,3316,2819,
财务费用(万元),-262,-106,9,-144,-159,-14,139,223,167,92,7,-66,9,-28,10,100,141,252,278,351,228,
资产减值损失(万元),--,--,117,825,-311,-317,-60,1097,168,101,-50,380,362,311,-37,559,218,287,41,392,266,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),98,66,41,201,133,69,--,208,171,113,--,--,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),1025,-463,-945,1824,-421,-1505,-1316,1310,-916,-1115,-1717,2685,452,504,-1584,3099,-902,4992,3586,1892,992,
营业外收入(万元),1,1,0,196,49,12,0,273,700,495,174,1472,1226,1051,329,2499,1446,1461,1093,868,452,
营业外支出(万元),-329,5,3,349,347,346,14,14,8,8,2,52,41,40,6,15,11,35,33,3,12,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,1,1,--,0,--,0,--,2,--,28,0,1,1,
利润总额(万元),1355,-467,-948,1671,-719,-1839,-1330,1568,-224,-628,-1544,4106,1637,1515,-1262,5583,532,6418,4646,2756,1432,
所得税费用(万元),-34,-49,-16,406,110,107,--,77,64,55,--,305,93,56,2,513,15,829,531,496,166,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),1389,-418,-932,1265,-829,-1947,-1330,1491,-288,-683,-1544,3801,1543,1459,-1264,5070,518,5589,4115,2260,1266,
归属于母公司所有者的净利润(万元),1389,-418,-932,1265,-829,-1947,-1330,1491,-288,-682,-1544,3801,1544,1459,-1264,5070,518,5589,4115,2260,1265,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-0,-0,--,-0,--,--,--,-0,-0,-0,0,-1,-0,-0,-0,-1,-0,--,--,--,1,
基本每股收益,0.13,-0.04,-0.08,0.12,-0.08,-0.18,-0.18,0.2,-0.04,-0.09,-0.21,0.65,0.28,0.27,-0.23,0.92,0.09,1.02,0.75,0.41,0.24,
稀释每股收益,0.12,-0.04,-0.08,0.12,-0.08,-0.18,-0.18,0.2,-0.04,-0.09,-0.21,0.65,0.28,0.27,-0.23,0.92,0.09,1.02,0.75,0.41,0.24,
